Player,Squad,Pos,MP,Min,Gls,Ast,G+A,xG,xAG,Total_Cards
Dean Henderson,Crystal Palace,GK,38,3420,0,0,0,0.0,0.2,3
David Raya,Arsenal,GK,38,3420,0,0,0,0.0,0.0,3
Nathan Collins,Brentford,DF,38,3420,2,3,5,2.5,1.8,5
Moisés Caicedo,Chelsea,"MF,DF",38,3351,1,2,3,0.8,3.0,11
Max Kilman,West Ham,DF,38,3348,0,1,1,1.6,1.2,5
Milos Kerkez,Bournemouth,DF,38,3336,2,5,7,0.6,3.9,4
Nikola Milenković,Nott'ham Forest,DF,37,3330,5,2,7,4.0,1.1,4
Cole Palmer,Chelsea,"MF,FW",37,3191,15,8,23,17.3,10.9,7
Matheus Cunha,Wolves,"MF,FW",33,2597,15,6,21,8.6,7.7,4
Jarrod Bowen,West Ham,"FW,MF",34,2973,13,8,21,8.6,6.8,1
Bruno Fernandes,Manchester Utd,MF,36,3018,8,10,18,9.9,8.5,7
Morgan Rogers,Aston Villa,"FW,MF",37,3114,8,10,18,6.6,7.8,10
Mohamed Salah,Liverpool,FW,38,3371,29,18,47,25.2,14.2,1
Alexander Isak,Newcastle Utd,FW,34,2756,23,6,29,20.3,4.3,1
Erling Haaland,Manchester City,FW,31,2736,22,3,25,22.0,3.0,2
